1.000 0.987 0.823 0.457 0.413 0.572 0.081 0.203 0.413 -0.073 -0.015 0.009 -0.128 0.197 -0.340
0.987 1.000 0.732 0.379 0.343 0.485 0.079 0.169 0.404 -0.072 -0.027 0.008 -0.152 0.186 -0.348
0.823 0.732 1.000 0.646 0.582 0.784 0.087 0.243 0.400 -0.052 -0.008 0.025 -0.021 0.263 -0.287
0.457 0.379 0.646 1.000 0.990 0.620 0.292 0.280 0.125 -0.051 0.025 -0.020 0.349 0.352 0.054
0.413 0.343 0.582 0.990 1.000 0.519 0.295 0.284 0.103 -0.052 0.029 -0.023 0.360 0.343 0.096
0.572 0.485 0.784 0.620 0.519 1.000 0.132 0.238 0.275 -0.026 0.002 0.035 0.106 0.257 -0.150
0.081 0.079 0.087 0.292 0.295 0.132 1.000 -0.016 -0.033 -0.042 -0.038 -0.029 0.174 0.322 -0.116
0.203 0.169 0.243 0.280 0.284 0.238 -0.016 1.000 0.381 -0.085 0.127 0.135 0.079 -0.077 0.255
0.413 0.404 0.400 0.125 0.103 0.275 -0.033 0.381 1.000 -0.017 -0.096 0.214 -0.184 0.172 -0.270
-0.073 -0.072 -0.052 -0.051 -0.052 -0.026 -0.042 -0.085 -0.017 1.000 -0.046 0.029 0.050 -0.018 0.020
-0.015 -0.027 -0.008 0.025 0.029 0.002 -0.038 0.127 -0.096 -0.046 1.000 -0.061 0.194 -0.203 0.082
0.009 0.008 0.025 -0.020 -0.023 0.035 -0.029 0.135 0.214 0.029 -0.061 1.000 -0.018 -0.115 -0.037
-0.128 -0.152 -0.021 0.349 0.360 0.106 0.174 0.079 -0.184 0.050 0.194 -0.018 1.000 0.041 0.395
0.197 0.186 0.263 0.352 0.343 0.257 0.322 -0.077 0.172 -0.018 -0.203 -0.115 0.041 1.000 -0.065
-0.340 -0.348 -0.287 0.054 0.096 -0.150 -0.116 0.255 -0.270 0.020 0.082 -0.037 0.395 -0.065 1.000
